dimension,variant,alternate_name
Product Energy Consumption,Energy Consuming,energy consuming
Product Energy Consumption,Energy Consuming,energy intensive
Product Energy Consumption,Energy Consuming,power consuming
Product Energy Consumption,Energy Consuming,electric powered
Product Energy Consumption,Energy Consuming,fuel powered
Product Energy Consumption,Energy Consuming,energy dependent
Product Energy Consumption,Energy Consuming,high energy consumption
Product Energy Consumption,Energy Consuming,energy usage
Product Energy Consumption,Non Energy Consuming,non energy consuming
Product Energy Consumption,Non Energy Consuming,manual product
Product Energy Consumption,Non Energy Consuming,non powered
Product Energy Consumption,Non Energy Consuming,passive product
Product Energy Consumption,Non Energy Consuming,low energy consumption
Product Energy Consumption,Non Energy Consuming,no energy requirement
Product Requirement,One-off,one off
Product Requirement,One-off,single use
Product Requirement,One-off,one time use
Product Requirement,One-off,disposable product
Product Requirement,One-off,one-time usage
Product Requirement,Temporary,temporary
Product Requirement,Temporary,short term
Product Requirement,Temporary,temporary use
Product Requirement,Temporary,short-term use
Product Requirement,Temporary,limited duration
Product Requirement,Temporary,temporary product
Product Requirement,Intermittent,intermittent
Product Requirement,Intermittent,occasional use
Product Requirement,Intermittent,periodic use
Product Requirement,Intermittent,irregular usage
Product Requirement,Intermittent,sporadic usage
Product Requirement,Seasonal,seasonal
Product Requirement,Seasonal,seasonal use
Product Requirement,Seasonal,seasonal product
Product Requirement,Seasonal,periodic seasonal demand
Product Requirement,Permanent,permanent
Product Requirement,Permanent,long term
Product Requirement,Permanent,long-term use
Product Requirement,Permanent,continuous use
Product Requirement,Permanent,permanent usage
Nature of Product Use,As End Product,end product
Nature of Product Use,As End Product,final product
Nature of Product Use,As End Product,consumer product
Nature of Product Use,As End Product,finished product
Nature of Product Use,As End Product,final use product
Nature of Product Use,As Intermediate Resource,intermediate resource
Nature of Product Use,As Intermediate Resource,intermediate product
Nature of Product Use,As Intermediate Resource,input resource
Nature of Product Use,As Intermediate Resource,production input
Nature of Product Use,As Intermediate Resource,industrial input
Product End-of-Life Disposal,Landfill,landfill
Product End-of-Life Disposal,Landfill,landfill disposal
Product End-of-Life Disposal,Landfill,waste landfill
Product End-of-Life Disposal,Landfill,disposed in landfill
Product End-of-Life Disposal,Incineration,incineration
Product End-of-Life Disposal,Incineration,burning waste
Product End-of-Life Disposal,Incineration,waste combustion
Product End-of-Life Disposal,Incineration,thermal disposal
Product End-of-Life Disposal,Recycling,recycling
Product End-of-Life Disposal,Recycling,recycled material
Product End-of-Life Disposal,Recycling,recycle process
Product End-of-Life Disposal,Recycling,material recovery
Product End-of-Life Disposal,Recycling,reprocessing
Product End-of-Life Disposal,Retrieving,retrieving
Product End-of-Life Disposal,Retrieving,product retrieval
Product End-of-Life Disposal,Retrieving,take back
Product End-of-Life Disposal,Retrieving,product take-back
Product End-of-Life Disposal,Retrieving,resource recovery
Product End-of-Life Disposal,Retrieving,product return
